match_id,match_name,event_hour,topic_label,topic_post_count
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 15:00:00,valencia / enner / ecuador / first,3
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 15:00:00,worldcup2022 / the / cup / world,97
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 16:00:00,autre,253
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 16:00:00,corruption / corrupt / minutes / worldcup2022,29
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 16:00:00,crypto / eth / our / to,8
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 16:00:00,ecuador / qatar / worldcup2022 / ecuadorvsqatar,77
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 16:00:00,freeman / morgan / voice / morganfreeman,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 16:00:00,jungkook / dreamersbyjungkook / jungkookatfifaworldcup / dreamers,10
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 16:00:00,keeper / goalkeeper / qatar / worldcup2022,23
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 16:00:00,offside / was / that / worldcup2022,140
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 16:00:00,palestinian / raisepalestineflag / palestine / flag,6
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 16:00:00,qatar / paid / the / worldcup2022,45
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 16:00:00,qatar / the / worldcup2022 / to,104
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 16:00:00,requestabet / available / hi / gt,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 16:00:00,supporting / support / team / ghana,5
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 16:00:00,the / watch / coverage / and,25
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 16:00:00,valencia / enner / ecuador / first,57
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 16:00:00,var / decision / minutes / worldcup2022,51
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 16:00:00,worldcup2022 / the / cup / world,170
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 17:00:00,autre,36
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 17:00:00,corruption / corrupt / minutes / worldcup2022,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 17:00:00,crypto / eth / our / to,4
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 17:00:00,ecuador / qatar / worldcup2022 / ecuadorvsqatar,9
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 17:00:00,freeman / morgan / voice / morganfreeman,3
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 17:00:00,jungkook / dreamersbyjungkook / jungkookatfifaworldcup / dreamers,8
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 17:00:00,keeper / goalkeeper / qatar / worldcup2022,5
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 17:00:00,offside / was / that / worldcup2022,4
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 17:00:00,opening / ceremony / worldcup2022 / the,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 17:00:00,palestinian / raisepalestineflag / palestine / flag,4
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 17:00:00,qatar / paid / the / worldcup2022,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 17:00:00,qatar / the / worldcup2022 / to,24
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 17:00:00,supporting / support / team / ghana,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 17:00:00,the / watch / coverage / and,12
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 17:00:00,valencia / enner / ecuador / first,3
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 17:00:00,worldcup2022 / the / cup / world,24
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 18:00:00,autre,55
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 18:00:00,crypto / eth / our / to,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 18:00:00,ecuador / qatar / worldcup2022 / ecuadorvsqatar,17
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 18:00:00,freeman / morgan / voice / morganfreeman,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 18:00:00,jungkook / dreamersbyjungkook / jungkookatfifaworldcup / dreamers,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 18:00:00,keeper / goalkeeper / qatar / worldcup2022,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 18:00:00,offside / was / that / worldcup2022,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 18:00:00,opening / ceremony / worldcup2022 / the,3
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 18:00:00,palestinian / raisepalestineflag / palestine / flag,10
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 18:00:00,qatar / paid / the / worldcup2022,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 18:00:00,qatar / the / worldcup2022 / to,27
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 18:00:00,requestabet / available / hi / gt,4
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 18:00:00,supporting / support / team / ghana,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 18:00:00,the / watch / coverage / and,5
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 18:00:00,valencia / enner / ecuador / first,9
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 18:00:00,var / decision / minutes / worldcup2022,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 18:00:00,worldcup2022 / the / cup / world,34
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 19:00:00,autre,35
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 19:00:00,crypto / eth / our / to,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 19:00:00,ecuador / qatar / worldcup2022 / ecuadorvsqatar,3
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 19:00:00,jungkook / dreamersbyjungkook / jungkookatfifaworldcup / dreamers,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 19:00:00,keeper / goalkeeper / qatar / worldcup2022,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 19:00:00,offside / was / that / worldcup2022,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 19:00:00,opening / ceremony / worldcup2022 / the,3
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 19:00:00,palestinian / raisepalestineflag / palestine / flag,6
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 19:00:00,qatar / the / worldcup2022 / to,21
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 19:00:00,requestabet / available / hi / gt,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 19:00:00,supporting / support / team / ghana,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 19:00:00,the / watch / coverage / and,3
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 19:00:00,valencia / enner / ecuador / first,3
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 19:00:00,worldcup2022 / the / cup / world,12
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 20:00:00,autre,18
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 20:00:00,crypto / eth / our / to,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 20:00:00,ecuador / qatar / worldcup2022 / ecuadorvsqatar,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 20:00:00,offside / was / that / worldcup2022,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 20:00:00,opening / ceremony / worldcup2022 / the,3
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 20:00:00,palestinian / raisepalestineflag / palestine / flag,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 20:00:00,qatar / the / worldcup2022 / to,13
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 20:00:00,supporting / support / team / ghana,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 20:00:00,the / watch / coverage / and,3
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 20:00:00,worldcup2022 / the / cup / world,10
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 21:00:00,autre,20
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 21:00:00,crypto / eth / our / to,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 21:00:00,jungkook / dreamersbyjungkook / jungkookatfifaworldcup / dreamers,4
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 21:00:00,palestinian / raisepalestineflag / palestine / flag,6
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 21:00:00,qatar / the / worldcup2022 / to,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 21:00:00,the / watch / coverage / and,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 21:00:00,worldcup2022 / the / cup / world,4
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 22:00:00,autre,20
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 22:00:00,ecuador / qatar / worldcup2022 / ecuadorvsqatar,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 22:00:00,jungkook / dreamersbyjungkook / jungkookatfifaworldcup / dreamers,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 22:00:00,offside / was / that / worldcup2022,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 22:00:00,opening / ceremony / worldcup2022 / the,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 22:00:00,palestinian / raisepalestineflag / palestine / flag,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 22:00:00,qatar / paid / the / worldcup2022,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 22:00:00,qatar / the / worldcup2022 / to,18
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 22:00:00,requestabet / available / hi / gt,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 22:00:00,supporting / support / team / ghana,3
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 22:00:00,the / watch / coverage / and,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 22:00:00,valencia / enner / ecuador / first,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 22:00:00,worldcup2022 / the / cup / world,10
